CVE,package,severity,summary,description,publishedAt,vulnerableVersionRange,firstPatchedVersion
CVE-2017-16085,tinyserver2,HIGH,Directory Traversal in tinyserver2,"Affected versions of `tinyserver2` resolve relative file paths, resulting in a directory traversal vulnerability. A malicious actor can use this vulnerability to access files outside of the intended directory root, which may result in the disclosure of private files on the vulnerable system.

Example request:
```
GET /../../../../../../../../../../etc/passwd HTTP/1.1
host:foo
```


## Recommendation

Update to v0.6.0 or later.",2018-07-24T15:01:34Z,<= 0.5.2,0.6.0
CVE-2017-16041,ikst,HIGH,Downloads Resources over HTTP in ikst,"Affected versions of `ikst` insecurely download resources over HTTP. 

In scenarios where an attacker has a privileged network position, they can modify or read such resources at will. While the exact severity of impact for a vulnerability like this is highly variable and depends on the behavior of the package itself, it ranges from being able to read sensitive information all the way up to and including remote code execution.


## Recommendation

Upgrade to version 1.1.2 or greater.",2018-07-24T15:56:19Z,< 1.1.2,1.1.2
CVE-2017-16083,node-simple-router,HIGH,Directory Traversal in node-simple-router,"Affected versions of `node-simple-router` resolve relative file paths, resulting in a directory traversal vulnerability. A malicious actor can use this vulnerability to access files outside of the intended directory root, which may result in the disclosure of private files on the vulnerable system.

Example request:
```
GET /../../../../../../../../../../etc/passwd HTTP/1.1
host:foo
```


## Recommendation

Update to v0.10.1 or later.",2018-07-24T19:42:39Z,<= 0.10.0,0.10.1
CVE-2018-3729,localhost-now,HIGH,Path Traversal in localhost-now,"Versions of `localhost-now` before 1.0.2 are vulnerable to path traversal. This allows a remote attacker to read the content of an arbitrary file.


## Recommendation

Update to version 1.0.2 or later.",2018-07-25T22:44:05Z,< 1.0.2,1.0.2
CVE-2018-3714,node-srv,HIGH,Path Traversal in node-srv,"Versions of `node-srv` before 2.1.1 are vulnerable to path traversal allowing a remote attacker to read files from the server that uses `node-srv`.


## Recommendation

Update to version 2.1.1 or later.",2018-07-26T14:50:41Z,< 2.1.1,2.1.1
CVE-2018-3715,glance,HIGH,Path Traversal in glance,"Versions of `glance` before 3.0.4 are vulnerable to path traversal allowing a remote attacker to read arbitrary files from the server using `glance`.


## Recommendation

Update to version 3.0.4 or later.",2018-07-26T14:53:14Z,< 3.0.4,3.0.4
CVE-2018-3717,anywhere,HIGH,Cross-Site Scripting in simple-server,"Versions of `simple-server` before 1.1.0 are vulnerable to stored cross-site scripting (XSS). This is exploitable if an attacker can control a filename on the server.


## Recommendation

Update to version 1.1.0 or later.",2018-07-26T15:08:05Z,< 1.5.0,1.5.0
CVE-2018-3717,simple-server,HIGH,Cross-Site Scripting in simple-server,"Versions of `simple-server` before 1.1.0 are vulnerable to stored cross-site scripting (XSS). This is exploitable if an attacker can control a filename on the server.


## Recommendation

Update to version 1.1.0 or later.",2018-07-26T15:08:05Z,< 1.1.0,1.1.0
CVE-2018-3719,mixin-deep,LOW,Prototype Pollution in mixin-deep,"Versions of `mixin-deep` before 1.3.1 are vulnerable to prototype pollution via merging functions.


## Recommendation

Update to version 1.3.1 or later.",2018-07-26T15:10:54Z,< 1.3.1,1.3.1
CVE-2018-3720,assign-deep,LOW,Prototype Pollution in assign-deep,"Versions of `assign-deep` before 0.4.7 are vulnerable to prototype pollution via merging functions.


## Recommendation

Update to version 0.4.7 or later.",2018-07-26T15:12:31Z,< 0.4.7,0.4.7
CVE-2018-3721,lodash,LOW,Prototype Pollution in lodash,"Versions of `lodash` before 4.17.5 are vulnerable to prototype pollution. 

The vulnerable functions are 'defaultsDeep', 'merge', and 'mergeWith' which allow a malicious user to modify the prototype of `Object` via `__proto__` causing the addition or modification of an existing property that will exist on all objects.




## Recommendation

Update to version 4.17.5 or later.",2018-07-26T15:14:52Z,< 4.17.5,4.17.5
CVE-2018-3722,merge-deep,LOW,Prototype Pollution in merge-deep,"Versions of `merge-deep` before 3.0.1 are vulnerable to prototype pollution via merging functions.


## Recommendation

Update to version 3.0.1 or later.",2018-07-26T15:17:15Z,< 3.0.1,3.0.1
CVE-2018-3723,default-deep,LOW,Prototype Pollution in defaults-deep,"Versions of `default-deep` before 0.2.4 are vulnerable to prototype pollution


## Recommendation

Update to version 0.2.4 or later.",2018-07-26T15:18:43Z,< 0.2.4,0.2.4
CVE-2018-3725,hekto,HIGH,Path Traversal in hekto,"Versions of `hekto` before 0.2.3 are vulnerable to path traversal. This allows a remote attacker to read content of arbitrary files.


## Recommendation

Update to version 0.2.3 or later.",2018-07-26T15:22:00Z,< 0.2.3,0.2.3
CVE-2016-10546,pouchdb,CRITICAL,Arbitrary Code Injection in pouchdb,"Affected versions of `pouchdb` do not properly sandbox the code execution engine which executes the map/reduce functions for temporary views and design documents. Under certain circumstances, an attacker could uses this to run arbitrary code on the server.


## Recommendation

Update to version 6.0.5 or later.",2018-07-26T16:22:08Z,< 6.0.5,6.0.5
CVE-2014-9682,dns-sync,CRITICAL,Critical severity vulnerability that affects dns-sync,"Withdrawn, accidental duplicate publish.

The dns-sync module before 0.1.1 for node.js allows context-dependent attackers to execute arbitrary commands via shell metacharacters in the first argument to the resolve API function.",2018-07-26T16:24:34Z,< 0.1.1,0.1.1
CVE-2018-3712,serve,MODERATE,Directory Traversal in serve,"Affected versions of `serve` do not properly handle `%2e` (.) and `%2f` (/) characters, and allow the, characters to be used in paths. This can be used to traverse the directory tree and list content of any directory the user running the process has access to.

Mitigating factors:
This vulnerability only allows listing of directory contents and does not allow reading of arbitrary files.


## Recommendation

Update to version 6.4.9 later.",2018-07-27T17:07:50Z,<= 6.4.8,6.4.9
CVE-2016-10694,alto-saxophone,HIGH,Downloads Resources over HTTP in alto-saxophone,"Affected versions of `alto-saxophone` insecurely download an executable over an unencrypted HTTP connection. 

In scenarios where an attacker has a privileged network position, it is possible to intercept the response and replace the executable with a malicious one, resulting in code execution on the system running `alto-saxophone`.


## Recommendation

Update to version 2.25.1 or later.",2018-07-31T22:34:45Z,< 2.25.1,2.25.1
CVE-2016-2515,hawk,MODERATE,Regular Expression Denial of Service in hawk,"Versions of `hawk` prior to 3.1.3, or 4.x prior to 4.1.1 are affected by a regular expression denial of service vulnerability related to excessively long headers and URI's.



## Recommendation

Update to hawk version 4.1.1 or later.",2018-07-31T22:52:00Z,">= 4.0.0, < 4.1.1",4.1.1
CVE-2016-2537,is-my-json-valid,MODERATE,Moderate severity vulnerability that affects is-my-json-valid,"Withdrawn, accidental duplicate publish.

The is-my-json-valid package before 2.12.4 for Node.js has an incorrect exports['utc-millisec'] regular expression, which allows remote attackers to cause a denial of service (blocked event loop) via a crafted string.",2018-07-31T22:54:14Z,<= 2.12.3,2.12.4
CVE-2016-4055,moment,MODERATE,Moderate severity vulnerability that affects moment,"Withdrawn, accidental duplicate publish.

The duration function in the moment package before 2.11.2 for Node.js allows remote attackers to cause a denial of service (CPU consumption) via a long string, aka a ""regular expression Denial of Service (ReDoS).""",2018-07-31T23:03:17Z,< 2.11.2,2.11.2
CVE-2017-16224,st,MODERATE,Open Redirect in st,"st is a module for serving static files.

An attacker is able to craft a request that results in an `HTTP 301` (redirect) to an entirely different domain. 

A request for: `http://some.server.com//nodesecurity.org/%2e%2e` would result in a 301 to `//nodesecurity.org/%2e%2e` which most browsers treat as a proper redirect as `//` is translated into the current schema being used.

Mitigating factor: 

In order for this to work, `st` must be serving from the root of a server (`/`) rather than the typical sub directory (`/static/`) and the redirect URL will end with some form of URL encoded `..` (""%2e%2e"", ""%2e."", "".%2e""). 

Code example (provided by Xin Gao): 

[example.js]

```
var st = require('st') 
var http = require('http') 
http.createServer(st(process.cwd())).listen(1337)
```

```
$ curl -v http://localhost:1337//cve.mitre.com/%2e%2e
*   Trying ::1...
* TCP_NODELAY set
* Connected to localhost (::1) port 1337 (#0)
> GET //cve.mitre.com/%2e%2e HTTP/1.1
> Host: localhost:1337
> User-Agent: curl/7.54.0
> Accept: */*
>
< HTTP/1.1 301 Moved Permanently
< cache-control: public, max-age=600
< last-modified: Fri, 13 Oct 2017 22:56:33 GMT
< etag: ""16777220-46488904-1507935393000""
< location: //cve.mitre.com/%2e%2e/
< Date: Fri, 13 Oct 2017 22:56:41 GMT
< Connection: keep-alive
< Content-Length: 30
<
* Connection #0 to host localhost left intact
```


## Recommendation

Update to version 1.2.2 or later.",2018-08-06T21:33:31Z,<= 1.2.1,1.2.2
CVE-2017-16129,superagent,LOW,Large gzip Denial of Service in superagent,"Affected versions of `superagent` do not check the post-decompression size of ZIP compressed HTTP responses prior to decompressing. This results in the package being vulnerable to a [ZIP bomb](https://en.wikipedia.org/wiki/Zip_bomb) attack, where an extremely small ZIP file becomes many orders of magnitude larger when decompressed. 

This may result in unrestrained CPU/Memory/Disk consumption, causing a denial of service condition.


## Recommendation

Update to version 3.7.0 or later.",2018-08-09T20:13:01Z,< 3.7.0,3.7.0
CVE-2015-9235,jsonwebtoken,CRITICAL,Verification Bypass in jsonwebtoken,"Versions 4.2.1 and earlier of `jsonwebtoken` are affected by a verification bypass vulnerability. This is a result of weak validation of the JWT algorithm type, occuring when an attacker is allowed to arbitrarily specify the JWT algorithm.




## Recommendation

Update to version 4.2.2 or later.",2018-10-09T00:38:30Z,< 4.2.2,4.2.2
CVE-2016-10533,express-restify-mongoose,HIGH,Private Data Disclosure in express-restify-mongoose,"Affected versions of `express-restify-mongoose` are susceptible to an information leakage vulnerability which may allow an attacker to access fields on a model even if those fields are marked as private.


## Proof of Concept

If you have a user model that you want to protect, such as the following User model:
```
const User = mongoose.model('User', new mongoose.Schema({
    name: String,
    password: String,
}));
```

You would normally do something such as:
```
restify.serve(router, User, {
    private: ['password'], // Set the password part of User as private, so outside people can't read it
})
```

This would hide the password field from people that send your application a `GET /User` and `GET /User/some-user-id` request. 

A malicious user can go to your application and send a request for `GET /User?distinct=password` and get all the passwords for all the users in the database, despite the field being set to private. This could be used for other private data, if the malicious user knew what was set as private for specific routes.


## Recommendation

Version 2.x: Update to version 2.5.0 or later.
Version 3.x: Update to version 3.1.0 or later.",2018-10-23T17:14:57Z,">= 3.0.0, <= 3.0.1",3.1.0
CVE-2015-8861,handlebars,HIGH,Cross-Site Scripting in handlebars,"Versions of `handlebars` prior to 4.0.0 are affected by a cross-site scripting vulnerability when attributes in handlebar templates are not quoted.


## Proof of Concept
Template:
```<a href={{foo}}/>```

Input:
```{ 'foo' : 'test.com onload=alert(1)'}```

Rendered result:
```<a href=test.com onload=alert(1)/>```


## Recommendation

Update to version 4.0.0 or later.
Alternatively, ensure that all attributes in handlebars templates are encapsulated with quotes.",2018-10-23T17:20:12Z,< 4.0.0,4.0.0
CVE-2017-16031,socket.io,MODERATE,Insecure randomness in socket.io,"Affected versions of `socket.io` depend on `Math.random()` to create socket IDs, and therefore the IDs are predictable. With enough information on prior IDs, an attacker may be able to guess the socket ID and gain access to socket.io servers without authorization.


## Recommendation

Update to v0.9.7 or later.",2018-11-07T00:29:37Z,<= 0.9.6,0.9.7
CVE-2017-16043,shout,MODERATE,HTML Injection in shout,"Affected versions of `shout` do not escape the `/topic` command in messages, and are therefore vulnerable to cross-site scripting.


## Recommendation

Update to version 0.50.0 or later.",2018-11-07T00:28:11Z,">= 0.44.0, <= 0.49.3",0.50.0
CVE-2017-16029,hostr,MODERATE,Directory Traversal in hostr,"Affected versions of `hostr` are vulnerable to directory traversal which allows attackers to read files outside the current directory by sending `../` in the url path for GET requests.


## Recommendation

Upgrade to version 2.3.6 or later.",2018-11-09T17:44:20Z,<= 2.3.5,2.3.6
CVE-2018-16478,simplehttpserver,MODERATE,Path Traversal in simplehttpserver,"All versions of `simplehttpserver` are vulnerable to Path Traversal. 

This vulnerability allows an attacker to access files outside the webroot since it allows symlink navigation in the URL.


## Recommendation

No fix is currently available. Do not use `simplehttpserver` in production or consider using an alternative module until a fix is made available.",2018-12-06T15:49:10Z,< 0.2.1,0.2.1
CVE-2018-9207,jquery-file-upload,MODERATE,Moderate severity vulnerability that affects jquery-file-upload,Arbitrary file upload in jQuery Upload File <= 4.0.2,2018-12-19T19:24:03Z,<= 4.0.2,4.0.5
CVE-2018-14041,bootstrap,MODERATE,Moderate severity vulnerability that affects bootstrap,"In Bootstrap before 4.1.2, XSS is possible in the data-target property of scrollspy. This is similar to CVE-2018-14042.",2018-09-13T15:49:56Z,< 3.4.0,3.4.0
CVE-2018-14041,bootstrap,MODERATE,Moderate severity vulnerability that affects bootstrap,"In Bootstrap before 4.1.2, XSS is possible in the data-target property of scrollspy. This is similar to CVE-2018-14042.",2018-09-13T15:49:56Z,">= 4.0.0, < 4.1.2",4.1.2
CVE-2018-14732,webpack-dev-server,HIGH,Missing Origin Validation in webpack-dev-server,"Versions of `webpack-dev-server` before 3.1.10 are missing origin validation on the websocket server. This vulnerability allows a remote attacker to steal a developer's source code because the origin of requests to the websocket server that is used for Hot Module Replacement (HMR) are not validated.


## Recommendation

For `webpack-dev-server` 2.x update to version 2.11.4 or later.
For `webpack-dev-server` 3.x update to version 3.1.11 or later.",2019-01-04T17:40:59Z,< 3.1.11,3.1.11
CVE-2018-6342,react-dev-utils,HIGH,Remote Code Execution in react-dev-utils,"`react-dev-utils` on Windows is vulnerable to remote code execution.


## Recommendation

Update to one of the follow versions, depending on the release line that you are using.
- 1.0.4
- 2.0.2
- 3.1.2
- 4.2.2
- 5.0.2
- 6.0.0-next.a671462c",2019-01-04T17:41:20Z,">= 1.0.0, < 1.0.4",1.0.4
CVE-2018-6342,react-dev-utils,HIGH,Remote Code Execution in react-dev-utils,"`react-dev-utils` on Windows is vulnerable to remote code execution.


## Recommendation

Update to one of the follow versions, depending on the release line that you are using.
- 1.0.4
- 2.0.2
- 3.1.2
- 4.2.2
- 5.0.2
- 6.0.0-next.a671462c",2019-01-04T17:41:20Z,">= 2.0.0, < 2.0.2",2.0.2
CVE-2018-6342,react-dev-utils,HIGH,Remote Code Execution in react-dev-utils,"`react-dev-utils` on Windows is vulnerable to remote code execution.


## Recommendation

Update to one of the follow versions, depending on the release line that you are using.
- 1.0.4
- 2.0.2
- 3.1.2
- 4.2.2
- 5.0.2
- 6.0.0-next.a671462c",2019-01-04T17:41:20Z,">= 3.0.0, < 3.1.2",3.1.2
CVE-2018-6342,react-dev-utils,HIGH,Remote Code Execution in react-dev-utils,"`react-dev-utils` on Windows is vulnerable to remote code execution.


## Recommendation

Update to one of the follow versions, depending on the release line that you are using.
- 1.0.4
- 2.0.2
- 3.1.2
- 4.2.2
- 5.0.2
- 6.0.0-next.a671462c",2019-01-04T17:41:20Z,">= 4.0.0, < 4.2.2",4.2.2
CVE-2018-6342,react-dev-utils,HIGH,Remote Code Execution in react-dev-utils,"`react-dev-utils` on Windows is vulnerable to remote code execution.


## Recommendation

Update to one of the follow versions, depending on the release line that you are using.
- 1.0.4
- 2.0.2
- 3.1.2
- 4.2.2
- 5.0.2
- 6.0.0-next.a671462c",2019-01-04T17:41:20Z,">= 5.0.0, < 5.0.2",5.0.2
CVE-2017-18353,rendertron,HIGH,High severity vulnerability that affects rendertron,Rendertron 1.0.0 includes an _ah/stop route to shutdown the Chrome instance responsible for serving render requests to all users. Visiting this route with a GET request allows any unauthorized remote attacker to disable the core service of the application.,2019-01-04T17:41:46Z,< 1.1.0,1.1.0
CVE-2017-18354,rendertron,HIGH,High severity vulnerability that affects rendertron,Rendertron 1.0.0 allows for alternative protocols such as 'file://' introducing a Local File Inclusion (LFI) bug where arbitrary files can be read by a remote attacker.,2019-01-04T17:41:51Z,< 1.1.0,1.1.0
CVE-2018-6341,react-dom,LOW,Cross-Site Scripting in react-dom,"Affected versions of `react-dom` are vulnerable to Cross-Site Scripting (XSS). The package fails to validate attribute names in HTML tags which may lead to Cross-Site Scripting in specific scenarios. This may allow attackers to execute arbitrary JavaScript in the victim's browser. To be affected by this vulnerability, the application needs to:
- be a server-side React app
- be rendered to HTML using `ReactDOMServer`
- include an attribute name from user input in an HTML tag


## Recommendation

If you are using `react-dom` 16.0.x, upgrade to 16.0.1 or later.  
If you are using `react-dom` 16.1.x, upgrade to 16.1.2 or later.  
If you are using `react-dom` 16.2.x, upgrade to 16.2.1 or later.  
If you are using `react-dom` 16.3.x, upgrade to 16.3.3 or later.  
If you are using `react-dom` 16.4.x, upgrade to 16.4.2 or later.",2019-01-04T19:05:35Z,= 16.0.0,16.0.1
CVE-2018-6341,react-dom,LOW,Cross-Site Scripting in react-dom,"Affected versions of `react-dom` are vulnerable to Cross-Site Scripting (XSS). The package fails to validate attribute names in HTML tags which may lead to Cross-Site Scripting in specific scenarios. This may allow attackers to execute arbitrary JavaScript in the victim's browser. To be affected by this vulnerability, the application needs to:
- be a server-side React app
- be rendered to HTML using `ReactDOMServer`
- include an attribute name from user input in an HTML tag


## Recommendation

If you are using `react-dom` 16.0.x, upgrade to 16.0.1 or later.  
If you are using `react-dom` 16.1.x, upgrade to 16.1.2 or later.  
If you are using `react-dom` 16.2.x, upgrade to 16.2.1 or later.  
If you are using `react-dom` 16.3.x, upgrade to 16.3.3 or later.  
If you are using `react-dom` 16.4.x, upgrade to 16.4.2 or later.",2019-01-04T19:05:35Z,">= 16.1.0, < 16.1.2",16.1.2
CVE-2018-6341,react-dom,LOW,Cross-Site Scripting in react-dom,"Affected versions of `react-dom` are vulnerable to Cross-Site Scripting (XSS). The package fails to validate attribute names in HTML tags which may lead to Cross-Site Scripting in specific scenarios. This may allow attackers to execute arbitrary JavaScript in the victim's browser. To be affected by this vulnerability, the application needs to:
- be a server-side React app
- be rendered to HTML using `ReactDOMServer`
- include an attribute name from user input in an HTML tag


## Recommendation

If you are using `react-dom` 16.0.x, upgrade to 16.0.1 or later.  
If you are using `react-dom` 16.1.x, upgrade to 16.1.2 or later.  
If you are using `react-dom` 16.2.x, upgrade to 16.2.1 or later.  
If you are using `react-dom` 16.3.x, upgrade to 16.3.3 or later.  
If you are using `react-dom` 16.4.x, upgrade to 16.4.2 or later.",2019-01-04T19:05:35Z,= 16.2.0,16.2.1
CVE-2018-6341,react-dom,LOW,Cross-Site Scripting in react-dom,"Affected versions of `react-dom` are vulnerable to Cross-Site Scripting (XSS). The package fails to validate attribute names in HTML tags which may lead to Cross-Site Scripting in specific scenarios. This may allow attackers to execute arbitrary JavaScript in the victim's browser. To be affected by this vulnerability, the application needs to:
- be a server-side React app
- be rendered to HTML using `ReactDOMServer`
- include an attribute name from user input in an HTML tag


## Recommendation

If you are using `react-dom` 16.0.x, upgrade to 16.0.1 or later.  
If you are using `react-dom` 16.1.x, upgrade to 16.1.2 or later.  
If you are using `react-dom` 16.2.x, upgrade to 16.2.1 or later.  
If you are using `react-dom` 16.3.x, upgrade to 16.3.3 or later.  
If you are using `react-dom` 16.4.x, upgrade to 16.4.2 or later.",2019-01-04T19:05:35Z,">= 16.3.0, < 16.3.3",16.3.3
CVE-2018-6341,react-dom,LOW,Cross-Site Scripting in react-dom,"Affected versions of `react-dom` are vulnerable to Cross-Site Scripting (XSS). The package fails to validate attribute names in HTML tags which may lead to Cross-Site Scripting in specific scenarios. This may allow attackers to execute arbitrary JavaScript in the victim's browser. To be affected by this vulnerability, the application needs to:
- be a server-side React app
- be rendered to HTML using `ReactDOMServer`
- include an attribute name from user input in an HTML tag


## Recommendation

If you are using `react-dom` 16.0.x, upgrade to 16.0.1 or later.  
If you are using `react-dom` 16.1.x, upgrade to 16.1.2 or later.  
If you are using `react-dom` 16.2.x, upgrade to 16.2.1 or later.  
If you are using `react-dom` 16.3.x, upgrade to 16.3.3 or later.  
If you are using `react-dom` 16.4.x, upgrade to 16.4.2 or later.",2019-01-04T19:05:35Z,">= 16.4.0, < 16.4.2",16.4.2
CVE-2017-18352,rendertron,MODERATE,Moderate severity vulnerability that affects rendertron,Error reporting within Rendertron 1.0.0 allows reflected Cross Site Scripting (XSS) from invalid URLs.,2019-01-07T19:14:21Z,< 1.1.0,1.1.0
CVE-2019-0542,xterm,LOW,Low severity vulnerability that affects xterm,"A remote code execution vulnerability exists in Xterm.js when the component mishandles special characters, aka ""Xterm Remote Code Execution Vulnerability."" This affects xterm.js.",2019-01-14T16:19:55Z,< 3.8.1,3.8.1
CVE-2019-0542,xterm,LOW,Low severity vulnerability that affects xterm,"A remote code execution vulnerability exists in Xterm.js when the component mishandles special characters, aka ""Xterm Remote Code Execution Vulnerability."" This affects xterm.js.",2019-01-14T16:19:55Z,">= 3.9.0, < 3.9.2",3.9.2
CVE-2019-0542,xterm,LOW,Low severity vulnerability that affects xterm,"A remote code execution vulnerability exists in Xterm.js when the component mishandles special characters, aka ""Xterm Remote Code Execution Vulnerability."" This affects xterm.js.",2019-01-14T16:19:55Z,">= 3.10, < 3.10.1",3.10.1
CVE-2016-10735,bootstrap,LOW,Low severity vulnerability that affects bootstrap,"In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute. Note that this is a different vulnerability than CVE-2018-14041.

See https://blog.getbootstrap.com/2018/12/13/bootstrap-3-4-0/ for more info.",2019-01-17T13:57:27Z,">= 3.0.0, < 3.4.0",3.4.0
CVE-2018-20676,bootstrap,LOW,Low severity vulnerability that affects bootstrap,"In Bootstrap before 3.4.0, XSS is possible in the tooltip data-viewport attribute.",2019-01-17T13:57:34Z,< 3.4.0,3.4.0
CVE-2018-20677,bootstrap,LOW,Low severity vulnerability that affects bootstrap,"In Bootstrap before 3.4.0, XSS is possible in the affix configuration target property.",2019-01-17T13:57:56Z,< 3.4.0,3.4.0
CVE-2018-16492,extend,MODERATE,Prototype Pollution in extend,"Versions of `extend` prior to 3.0.2 (for 3.x) and 2.0.2 (for 2.x) are vulnerable to Prototype Pollution. The `extend()` function allows attackers to modify the prototype of Object causing the addition or modification of an existing property that will exist on all objects.




## Recommendation

If you're using `extend` 3.x upgrade to 3.0.2 or later.
If you're using `extend` 2.x upgrade to 2.0.2 or later.",2019-02-07T18:03:28Z,">= 3.0.0, < 3.0.2",3.0.2
CVE-2018-16492,extend,MODERATE,Prototype Pollution in extend,"Versions of `extend` prior to 3.0.2 (for 3.x) and 2.0.2 (for 2.x) are vulnerable to Prototype Pollution. The `extend()` function allows attackers to modify the prototype of Object causing the addition or modification of an existing property that will exist on all objects.




## Recommendation

If you're using `extend` 3.x upgrade to 3.0.2 or later.
If you're using `extend` 2.x upgrade to 2.0.2 or later.",2019-02-07T18:03:28Z,< 2.0.2,2.0.2
CVE-2018-16491,node.extend,MODERATE,Prototype Pollution in node.extend,"Versions of `node.extend` before 1.1.7 or 2.0.1 are vulnerable to prototype pollution. 


## Recommendation

Update to version 1.1.7, 2.0.1 or later.",2019-02-07T18:17:34Z,< 1.1.7,1.1.7
CVE-2018-16491,node.extend,MODERATE,Prototype Pollution in node.extend,"Versions of `node.extend` before 1.1.7 or 2.0.1 are vulnerable to prototype pollution. 


## Recommendation

Update to version 1.1.7, 2.0.1 or later.",2019-02-07T18:17:34Z,= 2.0.0,2.0.1
CVE-2018-16490,mpath,MODERATE,Prototype Pollution in mpath,"Versions of `mpath` before 0.5.1 are vulnerable to prototype pollution. Provided certain input `mpath` can add or modify properties of the `Object` prototype. These properties will be present on all objects.


## Recommendation

Update to version `0.5.1` or later.",2019-02-07T18:17:26Z,< 0.5.1,0.5.1
CVE-2018-16489,just-extend,MODERATE,Prototype Pollution in just-extend,"Versions of `just-extend` before 4.0.0 are vulnerable to prototype pollution. Provided certain input `just-extend` can add or modify properties of the `Object` prototype. These properties will be present on all objects.


## Recommendation

Update to version `4.0.0` or later.",2019-02-07T18:17:12Z,< 4.0.0,4.0.0
CVE-2018-16487,lodash,HIGH,Prototype Pollution in lodash,"Versions of `lodash` before 4.17.5 are vulnerable to prototype pollution. 

The vulnerable functions are 'defaultsDeep', 'merge', and 'mergeWith' which allow a malicious user to modify the prototype of `Object` via `{constructor: {prototype: {...}}}` causing the addition or modification of an existing property that will exist on all objects.




## Recommendation

Update to version 4.17.11 or later.",2019-02-07T18:16:48Z,< 4.17.11,4.17.11
CVE-2018-16486,defaults-deep,MODERATE,Prototype Pollution in defaults-deep,"All versions of `defaults-deep` are vulnerable to prototype pollution. Provided certain input `defaults-deep` can add or modify properties of the `Object` prototype. These properties will be present on all objects.


## Recommendation

As no patch is currently available for this vulnerability it is our recommendation to select another module that can provide this functionality.",2019-02-07T18:16:38Z,< 0.2.4,0.2.4
CVE-2018-16485,m-server,LOW,Low severity vulnerability that affects m-server,Path Traversal vulnerability in module m-server <1.4.1 allows malicious user to access unauthorized content of any file in the directory tree e.g. /etc/passwd by appending slashes to the URL request.,2019-02-18T23:58:00Z,< 1.4.1,1.4.1
CVE-2018-16484,m-server,MODERATE,Cross-Site Scripting in m-server,"Versions of `m-server` before 1.4.2 are vulnerable to stored cross-site scripting. This vulnerability is exploitable if an attacker is able to control the name of a file that `m-server` is serving.


## Recommendation

Update to version 1.4.2 or later.",2019-02-07T18:16:16Z,< 1.4.2,1.4.2
CVE-2018-16483,express-cart,LOW,Low severity vulnerability that affects express-cart,A deficiency in the access control in module express-cart <=1.1.5 allows unprivileged users to add new users to the application as administrators.,2019-02-07T18:16:03Z,< 1.1.6,1.1.6
CVE-2018-16480,public,LOW,Low severity vulnerability that affects public,"A XSS vulnerability was found in module public <0.1.4 that allows malicious Javascript code to run in the browser, due to the absence of sanitization of the file/folder names before rendering.",2019-02-07T18:14:37Z,< 0.1.4,0.1.4
CVE-2018-16479,http-live-simulator,HIGH,Path Traversal in http-live-simulator,"Versions of `http-live-simulator` prior to 1.0.7 are vulnerable to Path Traversal.  Due to insufficient input sanitization, attackers can access server files by using relative paths. For example: `curl --path-as-is http://localhost:8080//../../../../etc/passwd`.


## Recommendation

Upgrade to version 1.0.7",2019-02-07T18:14:21Z,< 1.0.7,1.0.7
CVE-2017-18355,rendertron,HIGH,High severity vulnerability that affects rendertron,"Installed packages are exposed by node_modules in Rendertron 1.0.0, allowing remote attackers to read absolute paths on the server by examining the ""_where"" attribute of package.json files.",2019-02-12T15:36:39Z,< 1.1.0,1.1.0
CVE-2018-16202,cordova-plugin-ionic-webview,HIGH,Path Traversal in cordova-plugin-ionic-webview,"Versions of `cordova-plugin-ionic-webview` prior to 2.2.0 are vulnerable to Path Traversal, allowing attackers access to OS local files that should be inaccessible by third-party applications.  The package launches a webserver listening on http://localhost:8080 without restricting access of the app itself, thus escaping the iOS application sandbox and accessing local files.


## Recommendation

Upgrade to version 2.2.0",2019-02-12T15:36:35Z,< 2.2.0,2.2.0
CVE-2016-1000282,Haraka,CRITICAL,Critical severity vulnerability that affects Haraka,Haraka version 2.8.8 and earlier comes with a plugin for processing attachments for zip files. Versions 2.8.8 and earlier can be vulnerable to command injection.,2019-02-12T17:26:10Z,< 2.8.9,2.8.9
CVE-2016-10591,prince,HIGH,Downloads Resources over HTTP in prince,"Affected versions of `prince` insecurely download an executable over an unencrypted HTTP connection. 

In scenarios where an attacker has a privileged network position, it is possible to intercept the response and replace the executable with a malicious one, resulting in code execution on the system running `prince`.


## Recommendation

Update to version 1.4.6 or later.",2019-02-18T23:34:24Z,< 1.4.6,1.4.6
CVE-2016-10579,chromedriver,HIGH,Downloads Resources over HTTP in chromedriver,"Affected versions of `chromedriver` insecurely download resources over HTTP. 

In scenarios where an attacker has a privileged network position, they can modify or read such resources at will. This may result in arbitrary code execution if an attacker intercepts and modifies the downloaded binary file, replacing it with a malicious one. 



## Recommendation

Update to version 2.26.1 or later.",2019-02-18T23:58:05Z,< 2.26.1,2.26.1
CVE-2016-10575,kindlegen,HIGH,Downloads Resources over HTTP in kindlegen,"Affected versions of `kindlegen` insecurely download an executable over an unencrypted HTTP connection. 

In scenarios where an attacker has a privileged network position, it is possible to intercept the response and replace the executable with a malicious one, resulting in code execution on the system running `kindlegen`.


## Recommendation

Update to version 1.1.0 or greater.",2019-02-18T23:35:10Z,< 1.1.0,1.1.0
